需求ID,需求名称,需求类型,优先级,实现状态,验证状态,责任团队,实现路径,测试文件,验证团队,完成日期,备注
FR-001,设备管理,功能需求,P0,已实现,已验证,core/web-gw-api/src/routes/devices.rs,"POST/GET/PUT/DELETE /api/v1/devices",devices_api_test.rs,后端团队,2025-01-13,支持ModbusTCP/OPC-UA/MQTT
FR-001-01,ModbusTCP设备管理,功能需求,P0,已实现,已验证,drivers/modbus-static/,/api/v1/devices,modbus_driver_test.rs,驱动团队,2025-01-13,静态驱动完成
FR-001-02,设备CRUD操作,功能需求,P0,已实现,已验证,core/web-gw-api/src/routes/devices.rs,/api/v1/devices/{id},device_crud_test.rs,API团队,2025-01-13,完整CRUD支持
FR-001-03,设备状态管理,功能需求,P0,已实现,已验证,core/web-gw-api/src/routes/devices.rs,PUT /api/v1/devices/{id},device_status_test.rs,API团队,2025-01-13,启用/禁用功能
FR-001-04,设备配置管理,功能需求,P0,已实现,已验证,infra/pg-repo/src/device_repo.rs,POST /api/v1/devices,device_config_test.rs,数据层团队,2025-01-13,JSON配置支持
FR-001-05,设备名称唯一性,功能需求,P0,已实现,已验证,infra/pg-repo/src/device_repo.rs,POST /api/v1/devices,name_uniqueness_test.rs,数据层团队,2025-01-13,数据库约束

FR-002,数据点管理,功能需求,P0,已实现,已验证,core/web-gw-api/src/routes/tags.rs,"POST/GET/PUT/DELETE /api/v1/tags",tags_api_test.rs,后端团队,2025-01-13,完整数据点管理
FR-002-01,数据类型支持,功能需求,P0,已实现,已验证,core/web-gw-api/src/dto.rs,POST /api/v1/tags,data_types_test.rs,API团队,2025-01-13,Float/Int/Bool/String
FR-002-02,Modbus地址映射,功能需求,P0,已实现,已验证,drivers/modbus-static/src/driver.rs,POST /api/v1/tags,modbus_mapping_test.rs,驱动团队,2025-01-13,标准地址映射支持
FR-002-03,数据变换,功能需求,P0,已实现,已验证,core/web-gw-api/src/dto.rs,POST /api/v1/tags,data_transform_test.rs,API团队,2025-01-13,scaling/offset支持
FR-002-04,批量操作,功能需求,P1,已实现,已验证,core/web-gw-api/src/routes/tags.rs,POST /api/v1/tags/batch,batch_ops_test.rs,API团队,2025-01-15,批量创建/更新
FR-002-05,数据点状态管理,功能需求,P0,已实现,已验证,core/web-gw-api/src/routes/tags.rs,PUT /api/v1/tags/{id},tag_status_test.rs,API团队,2025-01-13,启用/禁用状态

FR-003,实时数据传输,功能需求,P0,已实现,已验证,core/web-gw-api/src/routes/websocket.rs,ws://localhost:50013/ws/telemetry,websocket_test.rs,通信团队,2025-01-13,WebSocket实时推送
FR-003-01,WebSocket实时推送,功能需求,P0,已实现,已验证,core/web-gw-api/src/routes/websocket.rs,ws://localhost:50013/ws/telemetry,ws_push_test.rs,通信团队,2025-01-13,支持1000+客户端
FR-003-02,选择性订阅,功能需求,P0,已实现,已验证,core/web-gw-api/src/routes/websocket.rs,WebSocket Subscribe接口,subscription_test.rs,通信团队,2025-01-13,设备/数据点订阅
FR-003-03,采样频率控制,功能需求,P0,已实现,已验证,core/web-gw-api/src/routes/websocket.rs,WebSocket Subscribe接口,sampling_test.rs,通信团队,2025-01-13,灵活采样间隔
FR-003-04,连接管理,功能需求,P0,已实现,已验证,core/web-gw-api/src/routes/websocket.rs,WebSocket管理,connection_mgmt_test.rs,通信团队,2025-01-13,1000连接支持
FR-003-05,背压处理,功能需求,P1,已实现,已验证,core/frame-bus/src/ring.rs,Frame Bus背压机制,backpressure_test.rs,性能团队,2025-01-13,智能背压缓解

FR-004,驱动管理,功能需求,P1,部分实现,部分验证,core/driver-manager/,"GET/POST/DELETE /api/v1/drivers",driver_mgmt_test.rs,驱动团队,待定,静态驱动完整
FR-004-01,静态驱动加载,功能需求,P0,已实现,已验证,drivers/modbus-static/,编译时加载,static_driver_test.rs,驱动团队,2025-01-13,Modbus静态驱动
FR-004-02,动态驱动加载,功能需求,P1,部分实现,部分验证,core/driver-manager/src/dynamic.rs,POST /api/v1/drivers/upload,dynamic_driver_test.rs,驱动团队,待定,框架存在待完善
FR-004-03,驱动生命周期,功能需求,P1,部分实现,部分验证,core/driver-manager/src/manager.rs,"GET/POST/DELETE /api/v1/drivers",lifecycle_test.rs,驱动团队,待定,基础框架可用
FR-004-04,驱动配置管理,功能需求,P1,已实现,已验证,core/web-gw-api/src/routes/driver_configs.rs,/api/v1/driver-configs,config_mgmt_test.rs,配置团队,2025-01-15,完整配置框架
FR-004-05,驱动隔离性,功能需求,P1,部分实现,部分验证,core/driver-manager/src/error.rs,驱动错误管理,isolation_test.rs,驱动团队,待定,基础隔离机制

FR-005,历史数据查询,功能需求,P1,已实现,已验证,core/web-gw-api/src/routes/history.rs,/api/v1/history/*,history_api_test.rs,数据层团队,2025-01-15,时序数据查询
FR-005-01,时间范围查询,功能需求,P1,已实现,已验证,core/web-gw-api/src/routes/history.rs,GET /api/v1/history/data,time_range_test.rs,数据层团队,2025-01-15,ISO8601时间格式支持
FR-005-02,数据聚合查询,功能需求,P1,已实现,已验证,core/web-gw-api/src/routes/history.rs,GET /api/v1/history/aggregated,aggregation_test.rs,数据层团队,2025-01-15,mean/min/max/sum/count
FR-005-03,窗口聚合,功能需求,P1,已实现,已验证,core/web-gw-api/src/routes/history.rs,GET /api/v1/history/aggregated,window_agg_test.rs,数据层团队,2025-01-15,1s/1m/1h窗口
FR-005-04,数据导出,功能需求,P2,已实现,已验证,core/web-gw-api/src/routes/history.rs,POST /api/v1/history/export,export_test.rs,数据层团队,2025-01-16,CSV格式导出
FR-005-05,分页查询,功能需求,P1,已实现,已验证,core/web-gw-api/src/routes/history.rs,GET /api/v1/history/data,pagination_test.rs,数据层团队,2025-01-15,10000条/页限制

FR-006,告警管理,功能需求,P1,已实现,已验证,core/web-gw-api/src/routes/alerts.rs,/api/v1/alerts/*,alerts_api_test.rs,告警团队,2025-01-16,规则引擎完整
FR-006-01,比较运算支持,功能需求,P1,已实现,已验证,core/web-gw-api/src/dto.rs,POST /api/v1/alerts/rules,comparison_ops_test.rs,告警团队,2025-01-16,GT/LT/GTE/LTE/EQ/NE
FR-006-02,告警级别,功能需求,P1,已实现,已验证,core/web-gw-api/src/dto.rs,POST /api/v1/alerts/rules,alert_levels_test.rs,告警团队,2025-01-16,INFO/WARN/CRIT
